DC,TC,MC,PH
0.0000,0.0000,-0.0242,1
0.0000,0.0000,-0.0242,1
0.0000,0.0130,-0.0410,1
0.0000,0.0130,-0.0410,1
0.0000,0.0130,-0.0410,1
0.0000,0.0130,-0.0410,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0913,1
0.0000,0.0000,-0.0913,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0913,1
0.0000,0.0000,-0.0913,1
0.0000,0.0000,-0.0913,1
0.0000,0.0000,-0.0913,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0913,1
0.0000,0.0000,-0.0913,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0410,1
0.0000,0.0000,-0.0410,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0913,1
0.0000,0.0000,-0.0913,1
0.0000,0.0000,-0.0913,1
0.0000,0.0000,-0.0913,1
0.0000,0.0000,-0.0913,1
0.0000,0.0000,-0.0913,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0913,1
0.0000,0.0000,-0.0913,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0410,1
0.0000,0.0000,-0.0410,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0745,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0578,1
0.0000,0.0000,-0.0410,1
0.0000,0.0000,-0.0410,1
0.0000,0.0000,-0.0578,1
